"Valid Values","Description","source"
"neural crest derived fibroblast","Any fibroblast that is derived from the neural crest. Synonyms: fibroblast neural crest derived","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"early embryonic cell (metazoa)","A cell found in the embryo before the formation of all the gem layers is complete.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"migratory cranial neural crest cell","Cell that is part of the migratory cranial neural crest population. Migratory cranial neural crest cells develop from premigratory cranial neural crest cells and have undergone epithelial to mesenchymal transition and delamination.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"migratory trunk neural crest cell","Cell that is part of the migratory trunk neural crest population. Migratory trunk neural crest cells develop from premigratory trunk neural crest cells and have undergone epithelial to mesenchymal transition and delamination.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"egg cell","A female gamete where meiosis has progressed to metaphase II and is able to participate in fertilization. Synonyms: mature oocyte, ovum","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"smooth muscle cell neural crest derived","A smooth muscle cell derived from the neural crest.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"glioblast","A non-terminally differentiated cell that develops form the neuroectoderm. Glioblast has the potential to differentiate into various types of glial cells, including astrocytes and oligodendrocytes.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"apocrine cell","An exocrine cell characterized by loss of part of the cytoplasm during the process of secretion. The secreted substance is accumulated at the apical end and is either budded off through the plasma membrane producing secreted vesicles or dissolved in the cytoplasm that is lost during secretion.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"stem cell","A relatively undifferentiated cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"single fate stem cell","A stem cell that self-renews as well as give rise to a single mature cell type. Synonyms: unipotent stem cell, unipotential stem cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"epithelial fate stem cell","A somatic stem cell that is committed to an epithelial fate, possessing the capacity for self-renewal and the ability to differentiate into one or more distinct mature cell types of the epithelial lineage. This cell is crucial for the development, homeostasis, repair, and regeneration of epithelial tissues. Synonyms: epithelial stem cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"hematopoietic stem cell","A stem cell from which all cells of the lymphoid and myeloid lineages develop, including blood cells and cells of the immune system. Hematopoietic stem cells lack cell markers of effector cells (lin-negative). Lin-negative is defined by lacking one or more of the following cell surface markers: CD2, CD3 epsilon, CD4, CD5 ,CD8 alpha chain, CD11b, CD14, CD19, CD20, CD56, ly6G, ter119. Synonyms: blood forming stem cell, hemopoietic stem cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"erythroid progenitor cell","A progenitor cell committed to the erythroid lineage.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"monoblast","A myeloid progenitor cell committed to the monocyte lineage. This cell is CD11b-positive, has basophilic cytoplasm, euchromatin, and the presence of a nucleolus.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mature eosinophil","A fully differentiated eosinophil, a granular leukocyte with a nucleus that usually has two lobes connected by one or more slender threads, and cytoplasm containing coarse, round granules that are uniform in size and which can be stained by the dye eosin. Cells are also differentiated from other granulocytes by a small nuclear-to-cytoplasm ratio (1:3). This cell type is CD49d-positive. Synonyms: mature eosinocyte, mature eosinophil leucocyte, mature eosinophil leukocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"neutrophilic myeloblast","A myeloblast committed to the neutrophil lineage. This cell type is GATA-1 positive, C/EBPa-positive, AML-1-positive, c-myb-positive and has low expression of PU.1 transcription factor.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
