"Valid Values","Description","Source"
"cytometry","The measurement of the characteristics of cells, including their size, shape, and complexity, often using techniques like flow cytometry.","General knowledge"
"epigenomics","The study of the complete set of epigenetic modifications on the genetic material of a cell, which influence gene expression without altering the DNA sequence.","<a href=""https://en.wikipedia.org/wiki/Epigenomics"">Wikipedia</a>"
"genomics","The study of the genomes of organisms, focusing on the structure, function, evolution, and mapping of genomes.","<a href=""https://en.wikipedia.org/wiki/Genomics"">Wikipedia</a>"
"histology","The study of the microscopic anatomy of cells and tissues of plants and animals, essential for understanding tissue structure and function.","General knowledge"
"immune repertoire profiling","The analysis of the diversity of immune cell receptors, such as T-cell receptors and B-cell receptors, to understand immune responses.","General knowledge"
"immunostaining","A laboratory technique that uses antibodies to detect specific antigens in cells or tissue sections, aiding in the visualization of the distribution and localization of target molecules.","General knowledge"
"lipidomics","The large-scale study of pathways and networks of cellular lipids in biological systems, involving the identification and quantification of thousands of cellular lipid molecules.","<a href=""https://en.wikipedia.org/wiki/Lipidomics"">Wikipedia</a>"
"metabolomics","The scientific study of chemical processes involving metabolites, providing insights into the metabolic state of a cell, tissue, or organism.","<a href=""https://en.wikipedia.org/wiki/Metabolomics"">Wikipedia</a>"
"microbiome","The collective genomes of the microorganisms (composed of bacteria, bacteriophage, fungi, protozoa, and viruses) that live inside and on the human body.","<a href=""https://en.wikipedia.org/wiki/Microbiome"">Wikipedia</a>"
"multimodal","The integration and analysis of multiple types of data (e.g., genomic, transcriptomic, proteomic) to provide a comprehensive understanding of biological systems.","<a href=""https://en.wikipedia.org/wiki/Multiomics"">Wikipedia</a>"
"proteomics","The large-scale study of proteins, particularly their structures and functions, including the identification of proteins and their post-translational modifications.","<a href=""https://en.wikipedia.org/wiki/Proteomics"">Wikipedia</a>"
"transcriptomics","The study of the transcriptome, the complete set of RNA transcripts produced by the genome, under specific circumstances or in a specific cell.","<a href=""https://en.wikipedia.org/wiki/Transcriptomics"">Wikipedia</a>"
