"Valid Values","Description","Source"
"assay","Metadata that describes details related to the assay and/or protocol used to generate the data",""
"biospecimen","Metadata that describes the biospecimen (aka samples) used to generate the data",""
"cell coordinates","",""
"data dictionary","A table that defines the fields, values, and rules for another metadata file.",""
"file manifest","",""
"medication","",""
"other","",""
"phenotype","",""
"protocol","A document detail procedures used that contributed to the generation of data.",""
"single-cell metadata","",""
"target panel","",""
"template","An example document conforming to a specified format.",""
"tissue microarray map","",""
"tissue multiarray map","",""
"user manual","A vendor-created document outlining details for performing procedures, using equipment, etc.",""
