"Attribute","Description","Required","Valid Values"
"VETI","Vitiligo Extent Tensity Index measures the extent of vitiligo by a numerical score and combines analysis of extensity and severity of vitiligo to produce a constant and reproducible number.",FALSE,""
"Component","A high-level attribute for grouping attributes into templates.",TRUE,""
"VASI","Total body Vitiligo Area Severity Index, a measure of the percentage of vitiligo involvement across the body calculated in terms of hand units.",FALSE,""
"ageUnits","The unit of measure used for `ageEnrollment` and `ageDiagnosis`",TRUE,"years, months"
"CDASI","Cutaneous Dermatomyositis Disease Area and Severity Index, is a measurement used to characterize cutaneous dermatomyositis severity.",FALSE,""
"individualID","Unique identifier assigned to each study participant. For multi-specimen data files provide all IDs in a comma-separated list.",TRUE,""
"heightUnits","Unit of measure of value provided for `height`.",TRUE,"inches, centimeters, meters, feet"
"vitiligoType","A high-level classification of vitiligo based on the distribution and patterning of lesions across the body.",FALSE,"segmental, non-segmental, mixed, unclassified"
"comorbidities","Any diseases or medical condition that is simultaneously present in addition to `diagnosis`.",FALSE,"diabetes, cardiovascular disease, pulmonary disease, autoimmune thyroid disease, inflammatory bowel disease, psoriasis, multiple sclerosis, systemic lupus erythematosus, rheumatoid arthritis, psoriatic arthritis, Hashimoto's Thyroiditis, other"
"age","Age at which subject was enrolled in study or age at corresponding visit and data collection event.",TRUE,""
"project","A sub-level attribute of `program` specifying a research initiative working to investigate particular hypotheses.",TRUE,"RA, SLE, AIM for RA, STAMP, LOCKIT, V-CoRT, ELLIPSS"
"sex","A textual description of a person's sex at birth.",TRUE,"female, male, intersex, unknown"
"race","A textual description of a person's race.",FALSE,"Asian, Black or African American, White, Hispanic, American Indian or Alaska Native, Mixed Race, Native Hawaiian or Other Pacific Islander, other, unknown"
"diagnosis","A high-level classifier indicating the disease status of an individual.",TRUE,"control, SLE, RA, At-Risk RA, vitiligo, dermatomyositis, PsO, PsA, scleroderma, SjD, LN, CLE, OA"
"ethnicity","The ethnicity of a person.",FALSE,"Hispanic or Latino, Not Hispanic or Latino, unknown"
"weightUnits","Abbreviated unit of measure of value provided for `weight`.",TRUE,"lb, kg, g, oz"
"PASI","Psoriasis Area and Severity Index, is a measurement of the discoloration, thickness, scaling, and coverage of psoriasis plaques.",FALSE,""
"VIDA","Vitiligo Disease Activity Score, a six-point scale that evaluates the activity of vitiligo",FALSE,""
"height","Standing height of subject.",TRUE,""
"weight","Weight of subject.",TRUE,""
"program","Name of the funding program that supported the generation of data and associated files",TRUE,"AMP RA/SLE, AMP AIM, Community Contribution"
"diabetesType","Type of diabetes mellitus.",FALSE,"type 1, type 2, unknown, gestational"
"programPhase","A label noting which AMP RA/SLE program phase generated the data.",TRUE,"I, II"
