"Attribute","Description","Required","Valid Values"
"targetPanelSynID","In most cases an accompanying metadata file should be provided that details information about the targets profiled in the experiment. This attribute links experimental data files to the target panel metadata via the synapse ID of that file.","True",""
"targetPanel","A unique or established human-readable name assigned to the panel of targets profiled in the experiment. For example, the panel of antibodies and corresponding fluorophores used in a flow cytometry experiment or panel used in a Xenium spatial transcriptomics experiment.","True",""
"platform","The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment. Specify where applicable for experimental data files, else enter 'none'. In most cases only a single label is expected, however multiple selections can be provided in comma-delimited list where applicable e.g., for 10x Genomics fastq files please specify both the 10x instrument and the sequencing platform.","True","BD FACSAria Fusion cell sorter, BD FACSAria III, BD FACSCanto, BD FACSCanto II, BD FACSDiscover A8, BD FACSDiscover S8, BD FACSLyric Clinical, BD FACSMelody, BD FACSymphony S6, BD LSRFortessa, Chromium Controller, Chromium GEM-X Single Cell 3' Chip v4, Chromium Next GEM Chip G, Chromium Next GEM Chip H, Chromium Next GEM Chip K, Chromium Next GEM Chip M, Chromium Next GEM Chip Q, Chromium X, Chromium Xo, Chromium iX, CyTOF XT, Cytek Aurora, Cytek Aurora Evo, Fluidigm BioMark, GEM-X Flex Gene Expression Chip, GEM-X OCM 5' Chip, Helios Mass Cytometer, Hyperion, Illumina HiSeq 2500, Illumina HiSeq X Ten, Illumina NextSeq 500, Illumina NovaSeq 6000, Illumina NovaSeq X, Not Applicable, Olink Signature Q100, Sony MA900, Thermo Fisher Attune CytPix, Thermo Fisher Attune NxT, Thermo Fisher Attune Xenith, Visium CytAssist, Xenium, none, unknown"
"dataCollectionBatch","A label indicating batching that occurs during data collection, e.g., collecting data across multiple days.","False",""
"assay","The technology used to generate the data in this file. For multimodal datasets with concomitant profiling of biospecimen select all assays that apply. e.g., the GEX files from a CITE-seq experiment should be labeled with both 'scRNASeq' and 'CITESeq'.","True","ASAPSeq, CE-MS, CITESeq, CosMX, CyTOF, GenePS SeqFISH, H&E, LC-MS/MS, NULISA, Olink Explore HT, Olink Flex, Olink Focus, Olink Reveal, Olink Target 48, Olink Target 96, RNASeq, SNP array, SomaScan, VDJSeq, Visium, WES, WGS, Xenium, feature barcode sequencing, flow cytometry, imaging mass cytometry, imaging mass spectrometry, kiloplex, multiplexed ELISA, scRNASeq, scVDJSeq, serial IHC, snATACSeq, snRNASeq"
"Component","A high-level attribute for grouping attributes into templates.","True",""
"softwareAndVersion","Relevant software and version used to generate the data file.","False","BD FACSDiva 8.0.1, Cell Ranger 9.0.1, Cell Ranger ATAC v1.1.0, Cell Ranger v3.0.0, Cell Ranger v3.0.1, Cell Ranger v3.0.2, Cell Ranger v3.1.0, Cell Ranger v4.0.0, Cell Ranger v5.0.0, Cell Ranger v5.0.1, Cell Ranger v6.0.0, Cell Ranger v6.0.1, Cell Ranger v6.0.2, Cell Ranger v6.1.0, Cell Ranger v6.1.1, Cell Ranger v6.1.2, Cell Ranger v7.0.0, Cell Ranger v7.0.1, Cell Ranger v7.1.0, Cell Ranger v7.2.0, Cell Ranger v8.0.0, Cell Ranger v8.0.1, Cell Ranger v9.0.0, Space Ranger 3.0.0, Space Ranger 3.0.1, Space Ranger 3.1.0, Space Ranger 3.1.1, Space Ranger 3.1.2, Space Ranger 3.1.3, demuxlet"
"biospecimenID","A unique identifier assigned to specimens collected from study participants. For multi-specimen data files provide all IDs in a comma-separated list.","True",""
"targetPanelSize","The number of gene, transcript, protein, etc., targets profiled in the assay for assays that use a pre-defined set of probes, antibodies, etc., to measure biological components in samples. The input value is expected to be a whole integer that matches the number of targets described in the accompanying target panel metadata (i.e., targetPanelSynID).","False",""
"sampleProcessingBatch","A label indicating batching of sample processing or preparation that occurs prior to data collection.","False",""
