"Attribute","Description","Required","Valid Values"
"PMID","PubMed(R) Identifier","True",""
"associatedDataset","The synID of a Dataset entity. This serves to link other Synapse entities to Dataset entities. When used to annotate a publication Dataset this attribute should include the synID for an experimental Datasets from which the publication data was derived. Multiple synID can be specified using a comma-delimited list.","False",""
"Component","A high-level attribute for grouping attributes into templates.","True",""
"publicationDate","The publication date extracted from PubMed database","True",""
"publicationType","General classification of publication.","True","correction, peer-reviewed, pre-print"
"title","Title of the publication.","True",""
"DOI","Digital object identifier","True",""
"PMCID","Pubmed Central Identifier, formatted as a compact URI string that will automatically resolve into a URL based on the Synapse bioregistry; e.g., pmc:PMCxxxxxxxx","False",""
"year","Year (YYYY) in which the paper was published.","True",""
"program","Name of the funding program that supported the generation of data and associated files","True","AMP AIM, AMP RA/SLE, Community Contribution"
"journal","Journal in which the publication was released","True",""
"project","A sub-level attribute of `program` specifying a research initiative working to investigate particular hypotheses.","True","AIM for RA, ELLIPSS, LOCKIT, RA, SLE, STAMP, UMass V-CoRT"
"programPhase","A label noting which AMP RA/SLE program phase generated the data.","True","I, II"
