"Attribute","Description","Valid Values","DependsOn","Properties","Required","Parent","DependsOn Component","Source","Validation Rules"
"Component","A high-level attribute for grouping attributes into templates.","","","",TRUE,"","","",""
"Filename","Name of a file. Must be included in DependsOn for all file manifest/annotation templates.","","","",TRUE,"","","",""
"fileFormat","Standard file format name or file extension","csv, tsv, txt, xlsx, xls, fcs, docx, erate, rec, info, vcf, dose, tbi, fam, bim, bed, bam, h5, mtx, bai, rds, pdf, tgz, zip, fastq, parquet, geojson, tar.gz, h5ad","","",TRUE,"","","",""
"program","Name of the funding program that supported the generation of data and associated files","AMP RA/SLE, AMP AIM, Community Contribution","","",TRUE,"","","",""
"project","A sub-level attribute of `program` specifying a research initiative working to investigate particular hypotheses.","RA, SLE, AIM for RA, STAMP, LOCKIT, V-CoRT, ELLIPSS","","",TRUE,"","","",""
"resourceType","High-level classification of the file content","experimental data, metadata, figure, code","","",TRUE,"","","",""
"nucleicAcidSource","The source of the nucleic acid used as input for sequencing library fragments. Select all that apply, though in most cases only a single label is expected.","poly(A) RNA, rRNA-depleted RNA, gDNA, surface protein feature barcode, intracellular protein feature barcode, antigen capture barcode, multiplexing oligo, BCR mRNA, TCR mRNA, Tn5-accessible gDNA, globin-depleted RNA, CRISPR protospacer feature barcode","","",TRUE,"","","","list like error"
"libraryPrepMethod","Sequencing library preparation method or kit used to create the library. If no commercially available kit was used, please select 'in-house library prep'.","NEBNext Ultra II Directional RNA Library, QIAseq miRNA Library, SMART-Seq v4 Ultra Low Input RNA, Nextera XT, SMARTer Stranded Total RNA v2, Nextera XT DNA, TruSeq Stranded mRNA, SMART-Seq Human BCR with UMI, SMART-Seq Human TCR with UMI, Takara Human BCR profiling for Illumina, Takara Human TCR profiling for Illumina, Takara Human TCRv2 profiling for Illumina, Takara Human scTCR profiling for Illumina, NEBNext Human Immune Sequencing Kit, CEL-Seq2, in-house library prep, Fluidigm C1 HT, 10x Chromium Next GEM Single Cell 3', 10x Chromium Next GEM Single Cell 3' 3.1, 10x Chromium Next GEM Single Cell 5' v2, 10x Chromium GEM-X Single Cell 5' v3, 10x Chromium GEM-X Single Cell 3' v4, 10x GEM-X Universal 5’ Gene Expression v3, 10x GEM-X Flex Gene Expression Human, 10x Chromium Fixed RNA Human Transcriptome, 10x Chromium Single Cell Human TCR, 10x Chromium Single Cell Human BCR, 10x Chromium Next GEM Single Cell ATAC v2, 10x Chromium Next GEM Single Cell 5' v1.1, Chromium Next GEM Single Cell ATAC v1.1, custom DASH-treatment","","",TRUE,"","","",""
"libraryID","A library label or name, unique within an experiment, used to distinguish sequencing libraries.","","","",FALSE,"","","",""
"totalReads","Total number of reads sequenced from the library.","","","",TRUE,"","","","int error"
"platform","The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment. Specify where applicable for experimental data files, else enter 'none'. In most cases only a single label is expected, however multiple selections can be provided in comma-delimited list where applicable e.g., for 10x Genomics fastq files please specify both the 10x instrument and the sequencing platform.","CyTOF XT, Helios Mass Cytometer, Hyperion, Illumina NextSeq 500, Illumina HiSeq 2500, Illumina NovaSeq 6000, Illumina NovaSeq X, Chromium X, Chromium iX, Chromium Xo, Chromium Controller, Visium CytAssist, Xenium, BD FACSAria Fusion cell sorter, none, Illumina HiSeq X Ten, Chromium Next GEM Chip G, GEM-X OCM 5' Chip, Chromium Next GEM Chip M, Chromium Next GEM Chip Q, Chromium Next GEM Chip H, Chromium GEM-X Single Cell 3' Chip v4, Chromium Next GEM Chip K, GEM-X Flex Gene Expression Chip","","",FALSE,"","","","list like error"
"sampleProcessingBatch","A label indicating batching of sample processing or preparation that occurs prior to data collection.","","","",FALSE,"","","",""
"dataCollectionBatch","A label indicating batching that occurs during data collection, e.g., collecting data across multiple days.","","","",FALSE,"","","",""
"10xProbeSetReference","Name of probe set used in 10x Chromium Flex, Xenium, and Visium data. If custom modified probe set was used the probe reference should be included as metadata accompanying the experimental data files.","Flex Human Transcriptome Probe Set v1.1.0, Flex Human Transcriptome Probe Set v1.0.1, Visium Human Transcriptome v2, Visium Human Transcriptome v1, custom probe set","","",TRUE,"","","",""
"FACSPopulation","A description of the marker gating strategy used to derive the population cells with FACS.","","","",TRUE,"","","",""
"FMAID","Functional Model of Anatomy ontology ID corresponding to the anatomical site and origin of the biospecimen. This is a conditionally dependent attribute triggered by a subset of `biospecimenType`.","","","",TRUE,"","","https://bioportal.bioontology.org/ontologies/FMA/?p=summary","int error"
"anatomicalSite","Functional Model of Anatomy ontology label corresponding to the FMAID of the biospecimen collection site.","left 2nd MCP joint, left ankle joint, left hip joint, left knee joint, left wrist joint, other site, right 1st MTP joint, right 2nd MCP joint, right 2nd MTP joint, right 3rd MCP joint, right ankle joint, right hip joint, right knee joint, right wrist joint, unknown","","",TRUE,"","","",""
"assay","The technology used to generate the data in this file. For multimodal datasets with concomitant profiling of biospecimen select all assays that apply. e.g., the GEX files from a CITE-seq experiment should be labeled with both 'scRNASeq' and 'CITESeq'.","scRNASeq, CyTOF, Xenium, Olink Explore HT, CITESeq, snRNASeq, snATACSeq, RNASeq, multiplexed ELISA, SNP array, imaging mass cytometry, H&E, ASAPSeq, CosMX, serial IHC, imaging mass spectrometry, LC-MS/MS, CE-MS, VDJSeq, scVDJSeq, feature barcode sequencing, SomaScan, WES, WGS, flow cytometry, NULISA","","",TRUE,"","","","list like error"
"biospecimenID","A unique identifier assigned to specimens collected from study participants. For multi-specimen data files provide all IDs in a comma-separated list.","","","",TRUE,"","","","#RASLEBiospecimenMetadataTemplate unique error^^#BiospecimenMetadataTemplate unique error^^list like error"
"biospecimenSubtype","Biospecimen status before sample is processed into a scRNA-seq library. Several scRNA-seq technologies support a variety of sample processing methods which can introduces sources of technical variation.","nuclei suspension, cell suspension, fresh tissue, frozen tissue, FFPE tissue, flow-sorted cells, PFA-fixed tissue","","",FALSE,"","","",""
"biospecimenType","A label indicating the biological material collected for experimentation and data collection. Where applicable, provide all types in a comma-separated list.","none, urine, stool, whole blood, serum, plasma, PBMCs, total leukocytes, kidney biopsy, synovial fluid, skin biopsy, salivary gland, saliva, skin swab, synovial tissue, suction blister cells, suction blister fluid, uvea, fibroblast-like synoviocyte","","",TRUE,"","","","#BiospecimenMetadataTemplate str^^#RASLEBiospecimenMetadataTemplate str^^list like error"
"cellOntologyID","Cell Ontology CL identifier that best describes a biopsecimen used to generate data, e.g., CL:0000084 for T cell.","","","",FALSE,"","","","regex search ^CL: error"
"cellType","The cell type name from Cell Ontology for the corresponding CL identifier.","","","",FALSE,"","","",""
"codingLanguage","The coding, aka programming, language(s) contained in the file marked with `resourceType = code`. Select all that apply.","R, Python, Java, C, C++, C#, Ruby, Julia, Fortan, SAS, Matlab","","",TRUE,"","","",""
"custom10xProbeSetSynID","If custom modified probe sets were used for collecting 10x Chromium Flex scRNA-seq data, then the probe reference files should be grouped as a zip or tar archive and uploaded as metadata. This attribute links the experimental data back to the probe set archive file via a synapse ID.","","","",TRUE,"","","","regex search ^syn[0-9]{8} error"
"dataLevel","Level of data processing applied to file. Levels refer to pre-defined standards of processing for the given assay.","1, 2, 3, 4, 5","","",TRUE,"","","",""
"dataSubtype","General classification to differentiate between omics profiling modalities. If N/A please select 'none'. Multiple selections can be provided in a comma-delimited list, however this is largely only expected in the context of Datasets and files that contain integrated experimental data spanning multiple types.","bulk, pseudobulk, single-cell, single-nucleus, spatial, none","","",TRUE,"","","","list like error"
"dataType","High-level classification of the type of data contained in the file, loosely related to the experimental method or biological entity that is being profiled. Select all that apply using a comma-delimited list, though in most cases only a single label is expected. For multimodal datasets with concomitant profiling of biospecimen include 'multimodal'.","transcriptomics, immune repertoire profiling, proteomics, multimodal, epigenomics, genomics, metabolomics, lipidomics, microbiome, histology, immunostaining, cytometry","","",TRUE,"","","","list like error"
"diagnosis","A high-level classifier indicating the disease status of an individual.","control, SLE, RA, At-Risk RA, vitiligo, dermatomyositis, PsO, PsA, scleroderma, SjD, LN, CLE, OA","","",TRUE,"","","","regex search ^DOID error"
"individualID","Unique identifier assigned to each study participant. For multi-specimen data files provide all IDs in a comma-separated list.","","","",TRUE,"","","","#ClinicalMetadataTemplate unique error^^#BiospecimenMetadataTemplate str^^#RASLEBiospecimenMetadataTemplate str^^list like error"
"krennInflammatory","A standardized, semi-quantitative measure of the degree of inflammatory infiltrate in synovial specimen. This is one of three measures used to derive the Krenn Synovitis Score (KSS) which is a histological scoring system used to quantify inflammation in synovial tissue biopsies, particularly in the context of inflammatory arthritis like rheumatoid arthritis.","","","",FALSE,"","","https://doi.org/10.1111/j.1365-2559.2006.02508.x","num error"
"krennLining","A standardized, semi-quantitative measure of the degree of hyperplasia/enlargement of the synovial lining layer of synovial specimen. This is one of three measures used to derive the Krenn Synovitis Score (KSS) which is a histological scoring system used to quantify inflammation in synovial tissue biopsies, particularly in the context of inflammatory arthritis like rheumatoid arthritis.","","","",FALSE,"","","https://doi.org/10.1111/j.1365-2559.2006.02508.x","num error"
"krennStroma","A standardized, semi-quantitative measure of stromal cell density of synovial specimen. This is one of three measures used to derive the Krenn Synovitis Score (KSS) which is a histological scoring system used to quantify inflammation in synovial tissue biopsies, particularly in the context of inflammatory arthritis like rheumatoid arthritis.","","","",FALSE,"","","https://doi.org/10.1111/j.1365-2559.2006.02508.x","num error"
"krennSynovitisScore","The Krenn Synovitis Score (KSS) is a histological scoring system used to quantify inflammation in synovial tissue biopsies, particularly in the context of inflammatory arthritis like rheumatoid arthritis.","","","",FALSE,"","","https://doi.org/10.1111/j.1365-2559.2006.02508.x","num error"
"metadataStandards","Metadata standards used to generate the metadata","user-defined, ARK data model","","",TRUE,"","","",""
"metadataType","A label further classifying the content of metadata resource.","biospecimen, protocol, template, user manual, assay, target panel, data dictionary, single-cell metadata","","",TRUE,"","","",""
"programPhase","A label noting which AMP RA/SLE program phase generated the data.","I, II","","",TRUE,"","","",""
"salivaCollectionProcedure","Classification of saliva collection procedure. This is a conditionally dependent attribute triggered for saliva `biospecimenType`.","stimulated, unstimulated","","",TRUE,"","","",""
"skinSiteStatus","Disease manifestation status of skin biospecimen.","lesional, lesional proximal, non-lesional, healthy control","","",TRUE,"","","",""
"softwareAndVersion","Relevant software and version used to generate the data file.","Cell Ranger 9.0.1, Cell Ranger v9.0.0, Cell Ranger v8.0.1, Cell Ranger v8.0.0, Cell Ranger v7.2.0, Cell Ranger v7.1.0, Cell Ranger v7.0.1, Cell Ranger v7.0.0, Cell Ranger v6.1.2, Cell Ranger v6.1.1, Cell Ranger v6.1.0, Cell Ranger v6.0.2, Cell Ranger v6.0.1, Cell Ranger v6.0.0, Cell Ranger v5.0.1, Cell Ranger v5.0.0, Cell Ranger v4.0.0, Cell Ranger v3.1.0, Cell Ranger v3.0.2, Cell Ranger v3.0.1, Cell Ranger v3.0.0, Space Ranger 3.1.3, Space Ranger 3.1.2, Space Ranger 3.1.1, Space Ranger 3.1.0, Space Ranger 3.0.1, Space Ranger 3.0.0, demuxlet, BD FACSDiva 8.0.1, Cell Ranger ATAC v1.1.0","","",FALSE,"","","",""
"specimenModality","Label assigned to experimental data files indicating whether the data contained corresponds to a single or multiple biospecimens","single specimen, multispecimen","","",TRUE,"","","",""
"synovialCollectionProcedure","Classification of procedure for synovial tissue collection.","biopsy, arthroplasty, synovectomy","","",TRUE,"","","",""
"userDefinedCellType","User-defined label of a cell type. Contributors are provided this option to use preferred or custom cell type labels that may vary from options and standards set by Cell Ontology.","","","",FALSE,"","","",""
"visitID","Ordinal ID distinguishing different patient visits.","","","",FALSE,"","","","#RASLEBiospecimenMetadataTemplate required^^"
"vitiligoType","A high-level classification of vitiligo based on the distribution and patterning of lesions across the body.","segmental, non-segmental, mixed, unclassified","","",FALSE,"","","",""
