"Attribute","Description","Valid Values","DependsOn","Required","Parent","Source","Validation Rules","columnType","Format","Minimum","Maximum","Pattern"
"Component","A high-level attribute for grouping attributes into templates.","","",TRUE,"","","","string","","","",""
"fileFormat","Standard file format name or file extension","bai, bam, bed, bim, csv, czi, docx, dose, erate, fam, fastq, fcs, geojson, h5, h5ad, info, mcd, mtx, parquet, pdf, py, rds, rec, svs, tbi, tgz, tsv, txt, vcf, xls, xlsx, zip","",TRUE,"","","","string","","","",""
"program","Name of the funding program that supported the generation of data and associated files","AMP AIM, AMP RA/SLE, Community Contribution","",TRUE,"","","","string","","","",""
"project","A sub-level attribute of `program` specifying a research initiative working to investigate particular hypotheses.","AIM for RA, EDP1, EDP2, ELLIPSS, LOCKIT, METRO, RA, SLE, STAMP, UMass V-CoRT","",TRUE,"","","list like error","string_list","","","",""
"programPhase","A label noting which AMP RA/SLE program phase generated the data.","I, II","",TRUE,"","","list like error","string_list","","","",""
"resourceType","High-level classification of the file content","code, experimental data, figure, metadata","",TRUE,"","","","string","","","",""
"dataType","High-level classification of the type of data contained in the file, loosely related to the experimental method or biological entity that is being profiled. Select all that apply using a comma-delimited list, though in most cases only a single label is expected. For multimodal datasets with concomitant profiling of biospecimen include 'multimodal'.","cytometry, epigenomics, genomics, histology, immune repertoire profiling, immunostaining, lipidomics, metabolomics, microbiome, multimodal, proteomics, transcriptomics","",TRUE,"","","list like error","string_list","","","",""
"dataSubtype","General classification to differentiate between omics profiling modalities. If N/A please select 'none'. Multiple selections can be provided in a comma-delimited list, however this is largely only expected in the context of Datasets and files that contain integrated experimental data spanning multiple types.","bulk, none, pseudobulk, single-cell, single-nucleus, spatial","",TRUE,"","","list like error","string_list","","","",""
"dataLevel","Level of data processing applied to file. Levels refer to pre-defined standards of processing for the given assay.","1, 2, 3, 4, 5","",TRUE,"","","","string","","","",""
"assay","The technology used to generate the data in this file. For multimodal datasets with concomitant profiling of biospecimen select all assays that apply. e.g., the GEX files from a CITE-seq experiment should be labeled with both 'scRNASeq' and 'CITESeq'.","ASAPSeq, CE-MS, CITESeq, CosMX, CyTOF, GenePS SeqFISH, H&E, LC-MS/MS, NULISA, Olink Explore HT, Olink Flex, Olink Focus, Olink Reveal, Olink Target 48, Olink Target 96, RNASeq, SNP array, SomaScan, VDJSeq, Visium, WES, WGS, Xenium, feature barcode sequencing, flow cytometry, imaging mass cytometry, imaging mass spectrometry, kiloplex, multiplexed ELISA, scRNASeq, scVDJSeq, serial IHC, snATACSeq, snRNASeq","",TRUE,"","","list like error","string_list","","","",""
