"template","primary_key"
"BiospecimenMetadataTemplate","biospecimenID"
"InVitroBiospecimenMetadataTemplate","biospecimenID"
"ClinicalMetadataTemplate","individualID"
"PublicationMetadataTemplate",
"BulkATACSeqAssayMetadataTemplate","libraryID"
"BulkRNASeqAssayMetadataTemplate","libraryID"
"ScRNASeqAssayMetadataTemplate","libraryID"
"SnATACSeqAssayMetadataTemplate","libraryID"
"SnRNASeqAssayMetadataTemplate","libraryID"
"SpatialImagingAssayMetadataTemplate","slideID"
"CyTOFAssayMetadataTemplate",
"OlinkAssayMetadataTemplate","plateID"
