"Attribute","Description","Valid Values","DependsOn","Properties","Required","Parent","DependsOn Component","Source","Validation Rules"
"Component","A high-level attribute for grouping attributes into templates.","","","","TRUE","","","",""
"Dataset Annotation Template","A template outlining dataset metadata to use as annotations for a synapse dataset entity.","","Component, program, project, datasetType, biospecimenType, biospecimenSubtype, diagnosis, acknowledgmentStatement, datasetDescription, ARKRelease, dataType, dataSubtype, assay, publicationSynID, associatedDataset, GitHubURL, dbGapAccession","","","","","",""
"scRNASeq Level 1 Template","A template outlining metadata to use as annotations for scRNA-seq fastq files.","","Component, filename, fileFormat, program, project, resourceType, nucleicAcidSource, libraryPrepMethod, libraryID, batch","","","","","",""
"Feature Barcode Seq Level 1 Template","A template outlining metadata to use as annotations for feature barcode sequencing fastq files.","","Component, filename, fileFormat, program, project, resourceType, nucleicAcidSource, targetPanel, targetPanelSynID, libraryID, batch","","","","","",""
"Publication Metadata Template","A template outlining metadata to use as annotations for Publication 'file' entities.","","Component, program, programPhase, project, associatedDataset, PMID, DOI, journal, publicationDate, year, title, publicationType","","","","","",""
"Biospecimen Metadata Template","A template outlining metadata to be collected for biospecimen.","","Component, individualID, visitID, biospecimenID, biospecimenType, biospecimenSubtype","","","","","",""
"V-CoRT Clinical Metadata Template","A template outlining clinical and demographic metadata to be collected for V-CoRT study participants.","","Component, program, project, individualID, diagnosis, age, ageUnits, sex, race, ethnicity, height, heightUnits, weight, weightUnits, comorbidities, vitiligoType, vitiligoSubtype, VIDA, VASI, VETI, PASI, CDASI","","","","","",""
"Mock Template","A mock template for performing tests of GH Actions workflows","","Component, individualID, visitID, biospecimenID, biospecimenType, biospecimenSubtype, program, project","","","","","",""
"Test Template","A test template for performing tests of GH Actions workflows","","Component, individualID, visitID, biospecimenID, biospecimenType, biospecimenSubtype, program, project","","","","","",""
"fileFormat","Standard file format name or file extension","csv, tsv, txt, xlsx, xls, fcs, docx, erate, rec, info, vcf, dose, tbi, fam, bim, bed, bam, h5, mtx, bai, rds, pdf, tgz, zip, fastq, parquet, geojson, tar.gz, zip","","","TRUE","","","",""
"filename","Name of a file. Must be included in DependsOn for all file manifest/annotation templates.","","","","TRUE","","","",""
"publicationSynID","The synID of the corresponding Synapse entity that stores metadata about the publication. This is used to differentiate publication-specific files, often consisting of level 4 processed data and expanded subject metadata, in a publication dataset that also includes raw or minimally processed files from experimental datasets. This provides an easy way to distinguish and select for the publication-specific data from which the research findings were derived. When this attribute is used to annotate a Dataset it serves as a way to directly link the Dataset entity with the publication metadata stored in Synapse.","","","","FALSE","","","","regex search ^syn[0-9]{8} error"
"associatedDataset","The synID of a Dataset entity. This serves to link other Synapse entities to Dataset entities. When used to annotate a publication Dataset this attribute should include the synID for an experimental Datasets from which the publication data was derived. Multiple synID can be specified using a comma-delimited list.","","","","FALSE","","","","list like :: regex search ^syn[0-9]{8} error"
"program","Name of the funding program that supported the generation of data and associated files","AMP RA/SLE, AMP AIM, Community Contribution","","","TRUE","","","",""
"project","A sub-level attribute of `program` specifying a research initiative working to investigate particular hypotheses.","RA, SLE, AIM for RA, STAMP, LOCKIT, V-CoRT, ELLIPSS","","","TRUE","","","",""
"AMP RA/SLE","Accelerating Medicines Partnership rheumatoid arthritis and systemic lupus erythematosus. Is a valid value for Program attribute and when selected it triggers a conditional dependency.","","programPhase","","FALSE","","","",""
"programPhase","A label noting which AMP RA/SLE program phase generated the data.","I, II","","","TRUE","","","",""
"resourceType","High-level classification of the file content","experimental data, metadata, figure, code","","","TRUE","","","",""
"experimental data","File that contains machine or code generated data that is experimentally derived. Is a valid value of Resource Type and when selected triggers conditional dependencies for additional attributes.","","individualID, visitID, biospecimenID, biospecimenType, biospecimenSubtype, diagnosis, dataType, dataSubtype, assay, dataLevel, specimenModality, platform, softwareAndVersion","","FALSE","","","",""
"dataType","High-level classification of the type of data contained in the file, loosely related to the experimental method or biological entity that is being profiled. Select all that apply using a comma-delimited list, though in most cases only a single label is expected. For multimodal datasets with concomitant profiling of biospecimen include 'multimodal'.","transcriptomics, immune repertoire profiling, proteomics, multimodal, epigenomics, genomics, metabolomics, lipidomics, microbiome, histology, immunostaining, cytometry","","","TRUE","","","","list like error"
"dataSubtype","General classification to differentiate between omics profiling modalities. If N/A please select 'none'. Multiple selections can be provided in a comma-delimited list, however this is largely only expected in the context of Datasets and files that contain integrated experimental data spanning multiple types.","bulk, pseudobulk, single-cell, single-nucleus, spatial, none","","","TRUE","","","","list like error"
"dataLevel","Level of data processing applied to file. Levels refer to pre-defined standards of processing for the given assay.","1, 2, 3, 4, 5","","","TRUE","","","",""
"assay","The technology used to generate the data in this file. For multimodal datasets with concomitant profiling of biospecimen select all assays that apply. e.g., the GEX files from a CITE-seq experiment should be labeled with both 'scRNASeq' and 'CITESeq'.","scRNASeq, CyTOF, Xenium, Olink, CITESeq, snRNASeq, snATACSeq, RNASeq, multiplexed ELISA, SNP array, imaging mass cytometry, H&E, ASAPSeq, CosMX, serial IHC, imaging mass spectrometry, LC-MS/MS, CE-MS, VDJSeq, scVDJSeq, feature barcode sequencing, SomaScan, WES, WGS, flow cytometry","","","TRUE","","","","list like error"
"10x Chromium Flex","A scRNA-seq method that analyzes gene expression using pre-designed probes. Is a valid value of scRNASeq Method and when selected triggers conditional dependencies for additional attributes.","","10xProbeSetReference","","FALSE","","","",""
