"Attribute","Description","Valid Values","DependsOn","Required","Parent","Source","Validation Rules","columnType","Format","Minimum","Maximum","Pattern","IsTemplate"
"Biospecimen Metadata Template","A general template outlining metadata to be collected for biospecimen profiled in a dataset.","","program, project, individualID, biospecimenID, parentBiospecimenID, altSampleID, biospecimenType, biospecimenSubtype, notes, sampleCollectionBatch","","","","","","","","","",TRUE
"In Vitro Biospecimen Metadata Template","A template outlining metadata to be collected for biospecimen used for an in vitro experiment.","","program, project, individualID, biospecimenID, parentBiospecimenID, altSampleID, biospecimenType, biospecimenSubtype, treatment, treatmentTimepoint, notes, sampleCollectionBatch","","","","","","","","","",TRUE
"skin swab","Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.","","skinSiteStatus, anatomicalSite","","","","","","","","","",FALSE
"skin biopsy","Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.","","skinSiteStatus, anatomicalSite","","","","","","","","","",FALSE
"suction blister cells","Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.","","skinSiteStatus, anatomicalSite","","","","","","","","","",FALSE
"suction blister fluid","Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.","","skinSiteStatus, anatomicalSite","","","","","","","","","",FALSE
"saliva","Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.","","salivaCollectionProcedure","","","","","","","","","",FALSE
"synovial tissue","Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.","","synovialCollectionProcedure, anatomicalSite, krennInflammatory, krennLining, krennStroma, krennSynovitisScore","","","","","","","","","",FALSE
"synovial fluid","Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.","","anatomicalSite","","","","","","","","","",FALSE
"flow-sorted cells","A valid value of 'biospecimenSubtype' that triggers conditional dependencies for additional attributes.","","FACSPopulation, cellOntologyID, cellType, userDefinedCellType","","","","","","","","","",FALSE
"cell suspension","A valid value of 'biospecimenSubtype' that triggers conditional dependencies for additional attributes.","","cellOntologyID, cellType, userDefinedCellType","","","","","","","","","",FALSE
"AMP RA/SLE","Accelerating Medicines Partnership Rheumatoid Arthritis and Systemic Lupus Erythematosus. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.","","visitID","","","","","","","","","",FALSE
"AMP AIM","Accelerating Medicines Partnership Autoimmune and Immune-Mediated Diseases. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.","","visitID","","","","","","","","","",FALSE
"primary cell culture","Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.","","cellType, cellOntologyID, primaryCellSource","","","","","","","","","",FALSE
"cell line","Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.","","cellType, cellOntologyID","","","","","","","","","",FALSE
"individualID","","","","TRUE","","","","string","","","","",FALSE
"biospecimenID","","","","TRUE","","","","string","","","","",FALSE
"biospecimenType","","PBMCs, cell line, kidney biopsy, none, plasma, primary cell culture, saliva, salivary gland, serum, skin biopsy, skin swab, stool, suction blister cells, suction blister fluid, synovial fluid, synovial tissue, total leukocytes, urine, uvea, whole blood","","TRUE","","","","string","","","","",FALSE
"project","","AIM for RA, ELLIPSS, LOCKIT, RA, SLE, STAMP, UMass V-CoRT, METRO","","TRUE","","","","string","","","","",FALSE
