"Attribute","Description","Valid Values","DependsOn","Required","Parent","Source","Validation Rules","columnType","Format","Minimum","Maximum","Pattern","IsTemplate"
"Fastq File Annotation Template","A template outlining metadata to be collected and applied to fastq file entities as annotations in Synapse.","","fileFormat, libraryID, specimenModality, readLength, assay","","","","","","","","","",TRUE
"BDM Fastq File Annotations","A template outlining metadata to be collected and applied to fastq file entities as annotations in Synapse by BDM team as part of data release process.","","fileFormat, resourceType, assay, specimenModality, readLength, individualID, biospecimenID, parentBiospecimenID, biospecimenType, biospecimenSubtype, dataType, dataSubtype, diagnosis, libraryPrepMethod, nucleicAcidSource, platform, program, project, species, primaryCellSource, cellType, userDefinedCellType","","","","","","","","","",TRUE
"resourceType","","experimental data","","TRUE","","","","string","","","","",FALSE
"fileFormat","","fastq","","TRUE","","","","string","","","","",FALSE
"dataLevel","","1","","TRUE","","","","string","","","","",FALSE
"feature barcode sequencing","Is a valid value of `assay` that triggers conditional dependencies for additional attributes.","","targetPanel, targetPanelSynID, targetPanelSize","","","","","","","","","",FALSE
"assay","The technology used to generate the data in this file. Select all assays that apply. e.g., the GEX fastq files from a CITE-seq experiment should be labeled with both 'scRNASeq' and 'CITESeq'.","scRNASeq, CITESeq, snRNASeq, snATACSeq, RNASeq, ASAPSeq, VDJSeq, scVDJSeq, feature barcode sequencing, WES, WGS","","TRUE","","","list like error","string_list","","","","",FALSE
"platform","The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment. Specify where applicable for experimental data files, else enter 'none'. In most cases only a single label is expected, however multiple selections can be provided in comma-delimited list where applicable e.g., for 10x Genomics fastq files please specify both the 10x instrument and the sequencing platform.","Illumina NovaSeq 6000, Illumina HiSeq X Ten, Illumina NextSeq 500, Illumina NovaSeq X, Illumina HiSeq 2500, unknown","","TRUE","","","","string","","","","",FALSE
"AMP RA/SLE","Accelerating Medicines Partnership Rheumatoid Arthritis and Systemic Lupus Erythematosus. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.","","visitID","","","","","","","","","",FALSE
"AMP AIM","Accelerating Medicines Partnership Autoimmune and Immune-Mediated Diseases. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.","","visitID","","","","","","","","","",FALSE
