"Attribute","Description","Valid Values","DependsOn","Required","Parent","Source","Validation Rules","columnType","Format","Minimum","Maximum","Pattern","dependOn"
"Dataset Annotation Template","A template outlining dataset metadata to use as annotations for a synapse dataset entity.","","program, project, datasetType, biospecimenType, biospecimenSubtype, diagnosis, acknowledgmentStatement, datasetDescription, ARKRelease, dataType, dataSubtype, assay, publicationSynID, associatedDataset, associatedCodeURL, associatedAccession, ImmPortAccession, datasetStatus, species","","","","","","","","","","program, project, datasetType, biospecimenType, biospecimenSubtype, diagnosis, acknowledgmentStatement, datasetDescription, ARKRelease, dataType, dataSubtype, assay, publicationSynID, associatedDataset, associatedCodeURL, associatedAccession, ImmPortAccession, datasetStatus, species"
"Publication Metadata Template","A template outlining metadata to use as annotations for Publication ‘file’ entities.","","program, project, associatedDataset, PMID, PMCID, DOI, journal, year, title, publicationType, publicationDate","","","","","","","","","","program, project, associatedDataset, PMID, PMCID, DOI, journal, year, title, publicationType, publicationDate"
"scRNASeq Assay Metadata Template","A template outlining metadata to be collected for each library in a scRNA-seq dataset.","","libraryID, biospecimenID, assay, specimenModality, libraryPrepMethod, nucleicAcidSource, totalReads, percentCellViability, platform, sequencingSaturation, sampleProcessingBatch, dataCollectionBatch, inputCellCount, alignmentReference, softwareAndVersion","","","","","","","","","","libraryID, biospecimenID, assay, specimenModality, libraryPrepMethod, nucleicAcidSource, totalReads, percentCellViability, platform, sequencingSaturation, sampleProcessingBatch, dataCollectionBatch, inputCellCount, alignmentReference, softwareAndVersion"
"Bulk RNASeq Assay Metadata Template","A template outlining metadata to be collected for each library in a bulk RNA-seq dataset.","","libraryID, biospecimenID, assay, specimenModality, libraryPrepMethod, nucleicAcidSource, totalReads, platform, sampleProcessingBatch, dataCollectionBatch, alignmentReference, softwareAndVersion","","","","","","","","","","libraryID, biospecimenID, assay, specimenModality, libraryPrepMethod, nucleicAcidSource, totalReads, platform, sampleProcessingBatch, dataCollectionBatch, alignmentReference, softwareAndVersion"
"Metadata File Annotation Template","A template outlining metadata to be collected for annotating metadata files to be compiled by ARK BDM.","","program, project, fileFormat, dataType, resourceType","","","","","","","","","","program, project, fileFormat, dataType, resourceType"
"snRNASeq Assay Metadata Template","A template outlining metadata to be collected for each library in a snRNA-seq dataset.","","libraryID, biospecimenID, assay, specimenModality, libraryPrepMethod, nucleicAcidSource, totalReads, percentCellViability, platform, sequencingSaturation, sampleProcessingBatch, dataCollectionBatch, inputCellCount, alignmentReference, softwareAndVersion","","","","","","","","","","libraryID, biospecimenID, assay, specimenModality, libraryPrepMethod, nucleicAcidSource, totalReads, percentCellViability, platform, sequencingSaturation, sampleProcessingBatch, dataCollectionBatch, inputCellCount, alignmentReference, softwareAndVersion"
"Bulk ATACSeq Assay Metadata Template","A template outlining metadata to be collected for each library in a bulk ATAC-seq dataset.","","libraryID, biospecimenID, assay, specimenModality, libraryPrepMethod, nucleicAcidSource, totalReads, platform, sampleProcessingBatch, dataCollectionBatch, alignmentReference, softwareAndVersion","","","","","","","","","","libraryID, biospecimenID, assay, specimenModality, libraryPrepMethod, nucleicAcidSource, totalReads, platform, sampleProcessingBatch, dataCollectionBatch, alignmentReference, softwareAndVersion"
"snATACseq Assay Metadata Template","A template outlining metadata to be collected for each library in a snATAC-seq dataset.","","libraryID, biospecimenID, assay, specimenModality, libraryPrepMethod, nucleicAcidSource, totalReads, percentCellViability, platform, sequencingSaturation, sampleProcessingBatch, dataCollectionBatch, inputCellCount, alignmentReference, softwareAndVersion","","","","","","","","","","libraryID, biospecimenID, assay, specimenModality, libraryPrepMethod, nucleicAcidSource, totalReads, percentCellViability, platform, sequencingSaturation, sampleProcessingBatch, dataCollectionBatch, inputCellCount, alignmentReference, softwareAndVersion"
"Spatial Imaging Assay Metadata Template","A template outlining metadata to be collected for each slide in a spatial transcriptomic or imaging based dataset.","","slideID, biospecimenID, assay, specimenModality, sampleProcessingBatch, dataCollectionBatch, targetPanel, targetPanelSynID, targetPanelSize","","","","","","","","","","slideID, biospecimenID, assay, specimenModality, sampleProcessingBatch, dataCollectionBatch, targetPanel, targetPanelSynID, targetPanelSize"
"metadata","Any file that contains curated data describing an experiment and experimental-derived data, including metadata about study subjects, biospecimens, protocols, assay reagents, marker panels, and ID mappings. Is a valid value of Resource Type that triggers conditional dependencies for additional attributes.","","metadataType, metadataStandards","","","","","","","","","","metadataType, metadataStandards"
"multispecimen","Is a valid value of `specimenModality` that triggers conditional dependencies for additional attributes.","","demultiplexMethod","","","","","","","","","","demultiplexMethod"
"metadataType","A label further classifying the content of metadata resource. If a metadata file contains multiple types please specify all that apply in a comma-delimited list","demographics, clinical, assay, biospecimen, cell coordinates, data dictionary, file manifest, medication, other, phenotype, protocol, single-cell metadata, target panel, template, tissue microarray map, user manual, alignment metrics","","TRUE","","","list like error","string_list","","","","",""
"metadataStandards","Metadata standards used to generate the metadata.","ARK data model, user-defined","","TRUE","","","","string","","","","",""
"demultiplexMethod","This attribute indicates the general method that needs to be used to demultiplex multispecimen raw data.","genotypic demux, hashtag oligos, sample barcode, slide array map","","TRUE","","","","string","","","","",""
