"Attribute","Description","Valid Values","DependsOn","Required","Parent","Source","Validation Rules","columnType","Format","Minimum","Maximum","Pattern","IsTemplate"
"single specimen","Is a valid value of `specimenModality` that triggers conditional dependencies for additional attributes.","","biospecimenID, individualID","","","","","","","","","",FALSE
"resourceType","","experimental data, metadata","","TRUE","","","list like error","string_list","","","","",FALSE
"fileFormat","Standard file format name or file extension","csv, tsv, txt, xlsx, xls, fam, bim, bed, bam, h5, mtx, bai, rds, tgz, zip, h5ad, html","","TRUE","","","","string","","","","",FALSE
"feature barcode sequencing","Is a valid value of `assay` that triggers conditional dependencies for additional attributes.","","targetPanel, targetPanelSynID, targetPanelSize","","","","","","","","","",FALSE
"rds","Is a valid value of 'fileFormat' that triggers conditional dependencies for additional attributes.","","RObjectClass","","","","","","","","","",FALSE
"experimental data","Is a valid value of 'resourceType' that triggers conditional dependencies for additional attributes.","","processedDataType","","","","","","","","","",FALSE
"metadata","Any file that contains curated data describing an experiment and experimental-derived data, including metadata about study subjects, biospecimens, protocols, assay reagents, marker panels, and ID mappings. Is a valid value of Resource Type that triggers conditional dependencies for additional attributes.","","metadataType","FALSE","","","","","","","","",FALSE
"metadataType","","single-cell metadata","","TRUE","","","","string","","","","",FALSE
"scRNASeq Processed Data Annotation Template","A data contributor template outlining metadata to be collected as file annotations for scRNA-seq processed data files (i.e., anything not a fastq file).","","fileFormat, assay, resourceType, dataLevel, specimenModality, cellRangerOutput","","","","","","","","","",TRUE
"BDM scRNASeq Processed Data Annotations","A template outlining metadata to be collected as file annotations for scRNA-seq processed data files (i.e., anything not a fastq file). to be compiled by ARK BDM.","","fileFormat, assay, resourceType, dataLevel, specimenModality, cellRangerOutput, parentBiospecimenID, biospecimenType, biospecimenSubtype, dataType, dataSubtype, diagnosis, visitID, libraryPrepMethod, nucleicAcidSource, alignmentReference, softwareAndVersion, program, project, species, primaryCellSource, cellType, userDefinedCellType","","","","","","","","","",TRUE
"snRNASeq Processed Data Annotation Template","A data contributor template outlining metadata to be collected as file annotations for snRNA-seq processed data files (i.e., anything not a fastq file).","","fileFormat, assay, resourceType, dataLevel, specimenModality, cellRangerOutput","","","","","","","","","",TRUE
"BDM snRNASeq Processed Data Annotations","A template outlining metadata to be collected as file annotations for snRNA-seq processed data files (i.e., anything not a fastq file). to be compiled by ARK BDM.","","fileFormat, assay, resourceType, dataLevel, specimenModality, cellRangerOutput, parentBiospecimenID, biospecimenType, biospecimenSubtype, dataType, dataSubtype, diagnosis, visitID, libraryPrepMethod, nucleicAcidSource, alignmentReference, softwareAndVersion, program, project, species, primaryCellSource, cellType, userDefinedCellType","","","","","","","","","",TRUE
"snATACSeq Processed Data Annotation Template","A data contributor template outlining metadata to be collected as file annotations for snATAC-seq processed data files (i.e., anything not a fastq file).","","fileFormat, assay, resourceType, dataLevel, specimenModality, cellRangerOutput","","","","","","","","","",TRUE
"BDM snATACSeq Processed Data Annotations","A template outlining metadata to be collected as file annotations for snATAC-seq processed data files (i.e., anything not a fastq file). to be compiled by ARK BDM.","","fileFormat, assay, resourceType, dataLevel, specimenModality, cellRangerOutput, parentBiospecimenID, biospecimenType, biospecimenSubtype, dataType, dataSubtype, diagnosis, visitID, libraryPrepMethod, nucleicAcidSource, alignmentReference, softwareAndVersion, program, project, species, primaryCellSource, cellType, userDefinedCellType","","","","","","","","","",TRUE
"scVDJSeq Processed Data Annotation Template","A data contributor template outlining metadata to be collected as file annotations for scVDJ-seq (i.e., immune repertoire profiling) processed data files (i.e., anything not a fastq file).","","fileFormat, assay, resourceType, dataLevel, specimenModality","","","","","","","","","",TRUE
"BDM scVDJSeq Processed Data Annotations","A template outlining metadata to be collected as file annotations for scVDJ-seq (i.e., immune repertoire profiling) processed data files (i.e., anything not a fastq file). to be compiled by ARK BDM.","","fileFormat, assay, resourceType, dataLevel, specimenModality, parentBiospecimenID, biospecimenType, biospecimenSubtype, dataType, dataSubtype, diagnosis, visitID, libraryPrepMethod, nucleicAcidSource, alignmentReference, softwareAndVersion, program, project, species, primaryCellSource, cellType, userDefinedCellType","","","","","","","","","",TRUE
"AMP RA/SLE","Accelerating Medicines Partnership Rheumatoid Arthritis and Systemic Lupus Erythematosus. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.","","visitID","","","","","","","","","",FALSE
"AMP AIM","Accelerating Medicines Partnership Autoimmune and Immune-Mediated Diseases. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.","","visitID","","","","","","","","","",FALSE
