ClinicalMetadataTemplate	clinical
BDMscRNASeqProcessedDataAnnotations	singlecell
BDMscVDJSeqProcessedDataAnnotations	singlecell
BDMsnATACSeqProcessedDataAnnotations	singlecell
BDMsnRNASeqProcessedDataAnnotations	singlecell
ScRNASeqProcessedDataAnnotationTemplate	singlecell
ScVDJSeqProcessedDataAnnotationTemplate	singlecell
SnATACSeqProcessedDataAnnotationTemplate	singlecell
SnRNASeqProcessedDataAnnotationTemplate	singlecell
BiospecimenMetadataTemplate	biospecimen
InVitroBiospecimenMetadataTemplate	biospecimen
BulkATACSeqAssayMetadataTemplate	main
BulkRNASeqAssayMetadataTemplate	main
DatasetAnnotationTemplate	main
MetadataFileAnnotationTemplate	main
PublicationMetadataTemplate	main
ScRNASeqAssayMetadataTemplate	main
SnATACSeqAssayMetadataTemplate	main
SnRNASeqAssayMetadataTemplate	main
SpatialImagingAssayMetadataTemplate	main
BDMSpatialImagingFileAnnotations	spatial
SpatialImagingFileAnnotationTemplate	spatial
BDMFastqFileAnnotations	fastq
FastqFileAnnotationTemplate	fastq
BDMFCSFileAnnotations	cytometry
CyTOFAssayMetadataTemplate	cytometry
FCSFileAnnotationTemplate	cytometry
BDMOlinkFileAnnotations	olink
OlinkAssayMetadataTemplate	olink
OlinkFileAnnotationTemplate	olink
